BusStop A,BusStop B,Distance,Service(s)
,,,
65009,65259,0.4,"117,118,43,43e,43M"
,,,
65259,65409,0.3,"117,118,381,43,43e,43M"
,,,
65409,65141,0.4,"117,118,381,43,43e,43M"
,,,
65141,65431,0.2,"117,118,43,43e,43M"
,,,
65431,65199,1.3,118
,,,
65009,65341,0.6,"119,381,382,382A,382G"
,,,
65341,65331,0.3,"119,381,382,382A,382G"
,,,
65331,65431,0.3,119
,,,
65439,65339,0.3,119
,,,
65339,65349,0.3,"119,381,382W"
,,,
65349,65009,0.5,"119,381,382W"
,,,
65061,65071,0.5,"136,6N,82,83"
,,,
65071,65151,0.4,"136,3,6N,83"
,,,
65151,65241,0.2,136
,,,
65241,65289,0.4,"136,381"
,,,
65289,65229,0.3,"136,3,381,386,6N,83"
,,,
65229,65009,0.5,"136,3,34,386,83,84"
,,,
65049,65039,0.3,"163,163A,82,88,88A"
,,,
65039,65029,0.3,"163,163A,82,88,88A"
,,,
65061,65199,0.6,"27,27A,89,89e"
,,,
65191,65069,0.4,"27,88,89"
,,,
65191,65071,0.5,"3,34"
,,,
65151,65161,0.3,"3,62,62A,6N,83"
,,,
65161,65171,0.5,"3,381,62,62A,6N,83"
,,,
65171,65231,0.6,"3,381,386,6N,83"
,,,
65231,65269,0.4,"3,386,6N,83"
,,,
65269,65279,0.5,"3,6N,83"
,,,
65279,65289,0.5,"3,6N,83"
,,,
65009,65221,0.6,"34,34A,386,386A,83,84,85"
,,,
65221,65089,0.4,"34,34A"
,,,
65089,65079,0.3,"34,34A"
,,,
65079,65199,0.4,"34,34A"
,,,
65071,65081,0.3,34
,,,
65081,65229,0.3,34
,,,
65031,65041,0.3,"372,6N,82"
,,,
65331,65149,0.4,381
,,,
65149,65401,0.3,"381,43M"
,,,
65401,65251,0.5,381
,,,
65251,65221,0.2,381
,,,
65221,65281,0.3,"381,386,386A,83,85"
,,,
65281,65249,0.3,381
,,,
65249,65161,0.4,381
,,,
65231,65181,0.3,"381,50"
,,,
65181,65561,0.3,381
,,,
65561,65569,0.5,381
,,,
65569,65189,0.2,381
,,,
65189,65239,0.4,381
,,,
65239,65179,0.6,"381,83"
,,,
65179,65169,0.4,"381,62,83"
,,,
65169,65241,0.4,381
,,,
65229,65259,0.5,381
,,,
65141,65339,0.3,381
,,,
65331,65571,0.3,"382,382A"
,,,
65571,65551,0.3,"382,382A"
,,,
65551,65541,0.3,"382,382A,382G"
,,,
65541,65531,0.4,"382,382A,382G"
,,,
65531,65491,0.4,"382,382G"
,,,
65491,65441,0.4,"382,382G"
,,,
65441,65451,0.3,"382,382G"
,,,
65451,65461,0.5,"382,382G"
,,,
65461,65481,0.7,"382,382G,84"
,,,
65481,65351,0.3,"382,382G"
,,,
65351,65009,0.5,"382,382G,50"
,,,
65331,65551,0.6,382G
,,,
65009,65359,0.6,382W
,,,
65359,65489,0.3,382W
,,,
65489,65469,0.8,"382W,84"
,,,
65469,65459,0.5,382W
,,,
65459,65449,0.3,382W
,,,
65449,65499,0.4,382W
,,,
65499,65539,0.4,382W
,,,
65539,65549,0.4,382W
,,,
65549,65559,0.2,382W
,,,
65559,65339,0.6,382W
,,,
65281,65381,0.3,"386,386A"
,,,
65381,65391,0.5,"386,386A"
,,,
65391,65319,0.6,"386,386A"
,,,
65319,65371,0.6,"386,386A"
,,,
65371,65419,0.6,386
,,,
65419,65429,0.4,386
,,,
65429,65171,0.3,386
,,,
65269,65411,0.5,386
,,,
65411,65379,0.6,386
,,,
65379,65311,0.5,386
,,,
65311,65399,0.8,386
,,,
65399,65389,0.5,386
,,,
65389,65289,0.4,386
,,,
65439,65149,0.4,43M
,,,
65401,65009,0.7,43M
,,,
65521,65231,0.5,50
,,,
65181,65321,0.4,50
,,,
65321,65311,0.5,50
,,,
65311,65301,0.5,50
,,,
65301,65351,0.7,50
,,,
65009,65201,0.5,"62,62A,82"
,,,
65201,65151,0.4,"62,62A"
,,,
65171,65529,0.5,"62,62A"
,,,
65521,65179,0.6,62
,,,
65169,65159,0.5,"62,83"
,,,
65159,65209,0.4,62
,,,
65209,65009,0.5,"62,82"
,,,
65021,65031,0.4,"6N,82"
,,,
65041,65061,0.6,"6N,82"
,,,
65229,65219,0.3,6N
,,,
65219,65201,0.4,6N
,,,
65029,65019,0.5,"80,80A,82,88,88A"
,,,
65201,65079,0.3,82
,,,
65079,65069,0.5,"82,83"
,,,
65069,65059,0.3,"82,88,88A"
,,,
65059,65049,0.4,"82,88,88A"
,,,
65011,65021,0.4,82
,,,
65071,65209,0.3,82
,,,
65281,65271,0.5,"83,85"
,,,
65271,65261,0.6,"83,85"
,,,
65261,65239,0.5,"83,85"
,,,
65159,65079,0.3,83
,,,
65221,65091,0.3,84
,,,
65091,65489,0.6,84
,,,
65469,65619,0.2,84
,,,
65619,65629,0.6,84
,,,
65629,65639,0.3,84
,,,
65639,65689,0.4,84
,,,
65689,65139,0.7,84
,,,
65139,65681,0.5,84
,,,
65681,65631,0.4,84
,,,
65631,65621,0.4,84
,,,
65621,65611,0.6,84
,,,
65611,65461,0.3,84
,,,
65481,65099,0.6,84
,,,
65099,65229,0.3,84
,,,
65239,65529,0.4,85
